user_id,KC5,KC4,KC2,KC1,KC7,KC8,KC3,KC6
2037,Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment),Revisit by myself (weekly),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is mentioned in lectures or labs),Revisit based on activity (if it is related to my assessment)
1830,Revisit by myself (monthly),Revisit by myself (monthly),Revisit by myself (monthly),Revisit by myself (monthly),Revisit based on activity (if it is mentioned in lectures or labs),Revisit by myself (monthly),Revisit by myself (monthly),Revisit by myself (monthly)
2385,Revisit based on activity (if it is mentioned in lectures or labs),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is mentioned in lectures or labs),Revisit based on activity (if it is mentioned in lectures or labs),Revisit based on activity (if it is mentioned in lectures or labs),Revisit based on activity (if it is mentioned in lectures or labs),Revisit based on activity (if it is mentioned in lectures or labs),Revisit based on activity (if it is mentioned in lectures or labs)
2037,Revisit based on activity (if it is related to my assessment),Revisit based on activity (if I see it in quiz),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is mentioned in lectures or labs),Revisit by myself (weekly),Revisit based on activity (if I see it in quiz),Revisit based on activity (if I see it in quiz),Revisit by myself (weekly)
2084,Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is mentioned in lectures or labs),Revisit based on activity (if it is mentioned in lectures or labs),Revisit based on activity (if it is mentioned in lectures or labs),Only when notified by course convener,Revisit based on activity (if it is mentioned in lectures or labs),Only when notified by course convener,Only when notified by course convener
2200,Revisit based on activity (if it is related to my assessment),Revisit by myself (weekly),Revisit based on activity (if it is mentioned in lectures or labs),Revisit by myself (weekly),Only when notified by course convener,Revisit by myself (weekly),Revisit by myself (weekly),Only when notified by course convener
2206,,,,,,,,
1372,Revisit by myself (weekly),Never,Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is mentioned in lectures or labs),Never,Never,Never,Revisit based on activity (if I see it in quiz)
1933,Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment),Revisit by myself (monthly),Revisit based on activity (if it is mentioned in lectures or labs),Revisit by myself (monthly),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment)
1205,,,,,,,,
2017,Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment),Others,Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if I see it in quiz),Revisit based on activity (if it is related to my assessment)
2167,Revisit based on activity (if it is mentioned in lectures or labs),Only when notified by course convener,Revisit by myself (monthly),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if I see it in quiz),Revisit based on activity (if it is related to my assessment)
1640,Revisit based on activity (if it is related to my assessment),Revisit by myself (weekly),,Revisit based on activity (if it is related to my assessment),,,Revisit based on activity (if it is related to my assessment),
1787,Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is mentioned in lectures or labs),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if I see it in quiz),Never,Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment)
2556,Revisit by myself (weekly),Revisit by myself (weekly),Revisit by myself (weekly),Revisit by myself (weekly),Revisit by myself (weekly),Never,Revisit by myself (weekly),Revisit by myself (weekly)
1620,Revisit by myself (monthly),Revisit based on activity (if I see it in quiz),Revisit by myself (monthly),Revisit by myself (monthly),Revisit by myself (monthly),,Revisit by myself (weekly),Revisit by myself (monthly)
2031,Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is mentioned in lectures or labs),Revisit by myself (weekly),Revisit based on activity (if I see it in quiz),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if I see it in quiz),Revisit based on activity (if it is related to my assessment),Revisit by myself (monthly)
1848,Revisit based on activity (if it is related to my assessment),Revisit based on activity (if I see it in quiz),Revisit based on activity (if it is mentioned in lectures or labs),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is mentioned in lectures or labs),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment)
2064,Revisit by myself (monthly),Revisit by myself (monthly),Revisit by myself (monthly),Revisit by myself (monthly),Revisit by myself (monthly),Revisit by myself (monthly),Revisit by myself (monthly),Revisit by myself (monthly)
1131,Only when notified by course convener,Only when notified by course convener,Only when notified by course convener,Only when notified by course convener,Only when notified by course convener,Only when notified by course convener,Only when notified by course convener,Only when notified by course convener
2271,Revisit by myself (weekly),Only when notified by course convener,Only when notified by course convener,Revisit by myself (weekly),Only when notified by course convener,Revisit based on activity (if it is mentioned in lectures or labs),Only when notified by course convener,Only when notified by course convener
1895,,,,,,,,
2717,Revisit based on activity (if it is mentioned in lectures or labs),Revisit based on activity (if it is mentioned in lectures or labs),Revisit based on activity (if it is mentioned in lectures or labs),Revisit based on activity (if it is mentioned in lectures or labs),Revisit based on activity (if it is mentioned in lectures or labs),Revisit based on activity (if it is mentioned in lectures or labs),Revisit based on activity (if it is mentioned in lectures or labs),Revisit based on activity (if it is mentioned in lectures or labs)
1803,Revisit by myself (monthly),Revisit by myself (monthly),Revisit by myself (monthly),Revisit by myself (monthly),Revisit by myself (monthly),Revisit by myself (monthly),Revisit by myself (monthly),Revisit by myself (monthly)
2493,Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment)
1744,Never,Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is mentioned in lectures or labs),Never,Never,Never,Never,Revisit by myself (weekly)
1563,Revisit by myself (weekly),,,,,,,
1610,Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if I see it in quiz),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is mentioned in lectures or labs),Revisit based on activity (if it is related to my assessment)
2216,Revisit by myself (weekly),Revisit by myself (weekly),Revisit by myself (weekly),Revisit by myself (weekly),Revisit by myself (weekly),Revisit by myself (weekly),Revisit by myself (weekly),Revisit by myself (weekly)
1712,Revisit based on activity (if it is mentioned in lectures or labs),Revisit based on activity (if it is related to my assessment),Revisit by myself (weekly),Revisit by myself (monthly),Never,Revisit based on activity (if it is related to my assessment),Revisit by myself (monthly),Revisit by myself (monthly)
1864,Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment)
1846,Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment)
1587,Revisit by myself (weekly),Revisit by myself (weekly),Revisit by myself (monthly),Revisit based on activity (if it is related to my assessment),Revisit by myself (weekly),Revisit by myself (weekly),Revisit by myself (weekly),Revisit by myself (weekly)
1381,Revisit based on activity (if it is related to my assessment),Revisit based on activity (if I see it in quiz),Revisit based on activity (if I see it in quiz),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if I see it in quiz),Revisit based on activity (if I see it in quiz),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment)
1740,Revisit by myself (weekly),Revisit by myself (weekly),Revisit by myself (weekly),Revisit by myself (weekly),Revisit by myself (weekly),Revisit by myself (weekly),Revisit by myself (weekly),Revisit by myself (weekly)
2119,Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment),Revisit by myself (weekly),Revisit based on activity (if it is related to my assessment),Revisit by myself (monthly),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment)
1326,Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is mentioned in lectures or labs),Revisit based on activity (if it is related to my assessment),Revisit by myself (monthly),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment),Only when notified by course convener,Revisit based on activity (if it is related to my assessment)
1520,Revisit by myself (monthly),Only when notified by course convener,Only when notified by course convener,Revisit based on activity (if it is related to my assessment),Revisit by myself (monthly),Revisit by myself (monthly),Revisit by myself (monthly),Revisit by myself (monthly)
2636,Revisit based on activity (if it is mentioned in lectures or labs),Revisit by myself (weekly),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is mentioned in lectures or labs),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is mentioned in lectures or labs),Revisit by myself (weekly)
1447,Never,Revisit by myself (weekly),Revisit based on activity (if it is mentioned in lectures or labs),Revisit by myself (weekly),Only when notified by course convener,Revisit by myself (monthly),Revisit based on activity (if it is mentioned in lectures or labs),Revisit based on activity (if it is related to my assessment)
1394,Revisit by myself (weekly),Revisit by myself (weekly),Revisit by myself (weekly),Revisit by myself (weekly),Revisit based on activity (if I see it in quiz),Revisit based on activity (if I see it in quiz),Revisit by myself (weekly),Revisit by myself (weekly)
1779,Revisit by myself (weekly),Revisit based on activity (if I see it in quiz),Revisit by myself (weekly),Revisit by myself (weekly),Revisit based on activity (if I see it in quiz),Never,Revisit by myself (monthly),Revisit based on activity (if I see it in quiz)
1168,Revisit based on activity (if it is related to my assessment),Revisit by myself (weekly),Revisit by myself (weekly),Never,Revisit by myself (monthly),Revisit by myself (monthly),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment)
2145,Revisit based on activity (if I see it in quiz),Revisit by myself (weekly),Revisit based on activity (if it is mentioned in lectures or labs),Revisit based on activity (if I see it in quiz),Revisit based on activity (if it is related to my assessment),Revisit by myself (weekly),Revisit by myself (weekly),Revisit by myself (monthly)
2389,Revisit based on activity (if it is mentioned in lectures or labs),Revisit by myself (weekly),Revisit by myself (monthly),Revisit by myself (weekly),Revisit based on activity (if it is mentioned in lectures or labs),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if I see it in quiz),Only when notified by course convener
1194,Revisit by myself (monthly),Revisit based on activity (if it is related to my assessment),Others,Revisit by myself (weekly),Revisit based on activity (if I see it in quiz),Revisit based on activity (if I see it in quiz),Others,Revisit based on activity (if it is related to my assessment)
2184,Revisit based on activity (if I see it in quiz),Never,Revisit based on activity (if I see it in quiz),Never,Revisit based on activity (if I see it in quiz),Revisit based on activity (if I see it in quiz),Revisit based on activity (if I see it in quiz),Revisit by myself (weekly)
1604,Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is mentioned in lectures or labs),Revisit based on activity (if it is mentioned in lectures or labs),Revisit based on activity (if I see it in quiz),Revisit based on activity (if it is mentioned in lectures or labs),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment)
1433,Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if I see it in quiz),Never,Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment),Only when notified by course convener,Never
1573,Revisit based on activity (if it is related to my assessment),,Revisit based on activity (if it is mentioned in lectures or labs),Revisit by myself (weekly),,,,
2173,Revisit by myself (weekly),Revisit by myself (weekly),Revisit based on activity (if it is mentioned in lectures or labs),Revisit by myself (weekly),Others,Others,Revisit based on activity (if it is mentioned in lectures or labs),Revisit based on activity (if it is related to my assessment)
1813,Revisit by myself (monthly),Revisit based on activity (if I see it in quiz),Revisit based on activity (if I see it in quiz),Revisit by myself (weekly),Revisit by myself (monthly),Revisit based on activity (if it is mentioned in lectures or labs),Revisit based on activity (if it is mentioned in lectures or labs),Revisit based on activity (if it is related to my assessment)
2597,Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is mentioned in lectures or labs),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if I see it in quiz),Never,Never,Revisit based on activity (if it is mentioned in lectures or labs),Revisit based on activity (if it is related to my assessment)
1711,Revisit based on activity (if it is mentioned in lectures or labs),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is mentioned in lectures or labs),Revisit by myself (monthly),Revisit by myself (weekly),Revisit by myself (weekly),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment)
2226,Revisit based on activity (if it is mentioned in lectures or labs),Revisit by myself (weekly),Revisit based on activity (if it is mentioned in lectures or labs),Revisit by myself (weekly),Revisit by myself (monthly),Revisit based on activity (if it is mentioned in lectures or labs),Revisit based on activity (if it is mentioned in lectures or labs),Only when notified by course convener
1683,Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is mentioned in lectures or labs),Revisit based on activity (if it is related to my assessment),Never,Revisit based on activity (if I see it in quiz),Revisit based on activity (if I see it in quiz),Only when notified by course convener,Revisit based on activity (if it is related to my assessment)
1492,,,,,,,,
2585,Revisit by myself (monthly),Revisit by myself (monthly),,,,,Revisit by myself (monthly),
1996,,,,,,,,
2200,Revisit by myself (weekly),Revisit based on activity (if I see it in quiz),Revisit based on activity (if I see it in quiz),Revisit based on activity (if I see it in quiz),Revisit based on activity (if I see it in quiz),Revisit by myself (weekly),Revisit based on activity (if it is mentioned in lectures or labs),Revisit based on activity (if I see it in quiz)
1880,Revisit based on activity (if it is mentioned in lectures or labs),Revisit based on activity (if I see it in quiz),Revisit based on activity (if it is mentioned in lectures or labs),Revisit by myself (weekly),Never,Never,Only when notified by course convener,Revisit based on activity (if I see it in quiz)
1832,Revisit based on activity (if it is mentioned in lectures or labs),Revisit based on activity (if it is mentioned in lectures or labs),Revisit based on activity (if it is mentioned in lectures or labs),Revisit based on activity (if it is mentioned in lectures or labs),Revisit based on activity (if it is mentioned in lectures or labs),Revisit based on activity (if it is mentioned in lectures or labs),Revisit based on activity (if it is mentioned in lectures or labs),Revisit based on activity (if it is mentioned in lectures or labs)
2304,Revisit by myself (monthly),Revisit based on activity (if I see it in quiz),Never,Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment),Never,Never
