user_id,KC5,KC4,KC2,KC1,KC7,KC8,KC3,KC6
2257,Revisit based on activity (if it is mentioned in lectures or labs),Revisit by myself (monthly),Revisit by myself (monthly),Revisit based on activity (if it is mentioned in lectures or labs),Revisit based on activity (if it is related to my assessment),Revisit by myself (weekly),Revisit based on activity (if I see it in quiz),Only when notified by course convener
1714,,,,,,,,
1891,Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment)
2076,Revisit based on activity (if it is related to my assessment),Never,Revisit by myself (weekly),Revisit based on activity (if I see it in quiz),Revisit based on activity (if it is mentioned in lectures or labs),Revisit based on activity (if it is related to my assessment),Only when notified by course convener,Revisit by myself (monthly)
2766,Revisit by myself (weekly),Revisit by myself (monthly),Revisit by myself (monthly),Revisit by myself (weekly),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment),Only when notified by course convener,Revisit based on activity (if it is related to my assessment)
1636,,,,,,,,
2424,,,,,,,,
1408,Revisit based on activity (if it is related to my assessment),Revisit based on activity (if I see it in quiz),Revisit by myself (monthly),Revisit by myself (weekly),Only when notified by course convener,Revisit by myself (weekly),Never,Revisit based on activity (if it is mentioned in lectures or labs)
2080,Revisit based on activity (if it is related to my assessment),Revisit by myself (weekly),Revisit based on activity (if it is mentioned in lectures or labs),Never,Revisit by myself (monthly),Never,Revisit based on activity (if it is mentioned in lectures or labs),Revisit based on activity (if it is related to my assessment)
1304,Revisit based on activity (if I see it in quiz),Revisit based on activity (if I see it in quiz),Revisit based on activity (if I see it in quiz),Never,Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if I see it in quiz),Revisit based on activity (if it is related to my assessment)
1927,Only when notified by course convener,Revisit based on activity (if it is mentioned in lectures or labs),Never,Never,Revisit based on activity (if I see it in quiz),Revisit based on activity (if I see it in quiz),Never,Revisit based on activity (if I see it in quiz)
1771,Revisit based on activity (if I see it in quiz),Revisit based on activity (if it is mentioned in lectures or labs),Revisit based on activity (if it is related to my assessment),Others,Only when notified by course convener,Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is mentioned in lectures or labs),Revisit based on activity (if it is related to my assessment)
2090,Revisit based on activity (if it is related to my assessment),Revisit by myself (weekly),Revisit based on activity (if it is related to my assessment),Revisit by myself (monthly),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is mentioned in lectures or labs),Revisit based on activity (if it is mentioned in lectures or labs),Revisit based on activity (if it is related to my assessment)
1944,Revisit by myself (weekly),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is mentioned in lectures or labs),Revisit by myself (weekly),Revisit based on activity (if it is mentioned in lectures or labs),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment)
