user_id,KC1,KC2,KC3,KC4,KC5,KC6,KC7,KC8,KC9,KC10,OverallScorePercentage
1807,0,1,1,1,0,0,0,1,0,0,0.4
1901,1,1,0,0,1,1,1,0,1,0,0.6
2084,1,1,1,0,0,1,0,1,1,1,0.7
2145,0,1,1,0,1,0,0,1,1,0,0.5
2043,0,1,0,1,1,1,0,0,1,0,0.5
1795,0,1,1,1,1,1,0,1,0,0,0.6
2330,0,1,1,1,1,1,1,1,1,0,0.8
1536,1,1,1,0,1,1,1,1,1,1,0.9
1813,0,0,1,1,1,1,0,1,1,0,0.6
1909,0,1,1,1,1,1,0,0,1,0,0.6
1589,0,1,0,1,1,1,0,0,1,0,0.5
2717,1,1,1,1,1,1,1,1,1,0,0.9
2226,0,1,0,1,1,1,1,0,1,1,0.7
2200,0,1,0,1,1,0,0,1,0,0,0.4
1944,0,0,1,1,1,1,0,0,0,0,0.4
1797,0,1,1,1,1,1,1,0,1,0,0.7
2493,1,1,1,1,0,1,1,0,1,0,0.7
2406,0,0,0,1,1,1,0,0,1,0,0.4
2353,0,1,1,1,1,1,0,0,0,0,0.5
2477,0,0,1,1,1,1,0,1,0,0,0.5
1520,1,0,0,1,1,1,0,0,0,0,0.4
1960,0,1,0,1,1,1,1,1,0,0,0.6
1927,1,1,1,1,1,1,1,1,1,0,0.9
1848,0,1,0,1,1,0,0,0,0,0,0.3
2064,0,0,1,1,1,0,0,0,1,0,0.4
2650,0,0,0,0,0,0,0,1,1,0,0.2
2031,0,1,1,1,1,1,0,1,0,0,0.6
2168,0,0,1,1,0,1,0,0,0,0,0.3
2904,0,1,0,1,1,0,0,1,1,0,0.5
2208,0,1,0,1,1,0,0,0,1,0,0.4
2119,0,1,1,1,1,0,0,0,0,0,0.4
2585,0,1,1,1,1,1,0,0,0,0,0.5
2385,0,0,0,1,1,0,1,0,1,0,0.4
2257,1,0,0,1,0,0,0,1,0,0,0.3
2216,0,0,1,1,1,0,0,0,0,0,0.3
2027,0,1,1,1,1,1,0,1,1,0,0.7
2680,0,0,1,0,1,0,0,1,0,0,0.3
2153,0,1,0,1,1,1,0,1,0,0,0.5
2173,0,1,1,0,1,0,0,1,1,0,0.5
2037,0,1,0,1,1,1,1,1,1,1,0.8
2662,1,0,0,1,0,1,0,0,1,0,0.4
2312,0,1,1,1,1,1,0,1,1,0,0.7
2904,0,0,1,1,0,1,0,1,1,0,0.5
1381,0,0,0,1,1,0,0,0,0,0,0.2
1483,0,1,0,1,1,1,1,0,0,0,0.5
1304,0,0,1,1,0,0,0,0,1,0,0.3
1147,0,1,1,1,1,0,0,1,1,0,0.6
1542,0,1,0,0,1,0,0,0,1,0,0.3
1660,0,1,1,1,1,0,0,1,1,0,0.6
1131,1,1,1,1,1,0,0,0,0,0,0.5
1107,0,1,1,1,1,1,0,1,1,0,0.7
899,0,1,1,1,1,0,0,0,1,0,0.5
1575,0,1,1,1,1,1,0,0,0,0,0.5
1326,0,1,1,1,0,0,0,1,0,0,0.4
1789,0,1,1,1,0,1,0,0,0,0,0.4
1447,0,1,1,0,1,0,1,1,1,0,0.6
1587,0,0,0,1,1,0,0,0,0,0,0.2
1284,0,1,1,1,1,1,0,1,1,0,0.7
1581,0,1,1,1,0,1,0,1,1,0,0.6
1787,0,1,1,0,1,0,0,1,0,0,0.4
2399,0,0,0,1,1,1,0,1,1,0,0.5
1880,0,1,1,1,1,0,1,1,1,0,0.7
1225,1,1,1,0,1,0,0,1,1,0,0.6
1685,1,0,0,0,1,1,0,0,1,1,0.5
1194,0,0,1,1,1,0,1,0,0,0,0.4
2389,1,1,1,1,1,1,0,1,1,1,0.9
1520,0,1,0,1,1,1,1,1,1,1,0.8
1964,0,1,1,1,1,0,0,1,1,0,0.6
1563,0,0,1,1,0,0,0,0,1,0,0.3
2053,0,1,1,0,0,0,0,1,0,1,0.4
